level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
1464,84,0,0,0,0,0,0,0,0,0,0
1269,77,0,0,0,0,0,0,0,0,0,0
1676,61,0,0,0,0,0,0,0,0,0,0
1602,19,0,0,0,0,0,0,0,0,0,0
1024,39,0,0,0,0,0,0,0,0,0,0
300,15,0,0,0,0,0,0,0,0,0,0
380,82,0,0,0,0,0,0,0,0,0,0
927,54,0,0,0,0,0,0,0,0,0,0
1012,84,0,0,0,0,0,0,0,0,0,0
560,60,0,0,0,0,0,0,0,0,0,0
591,82,0,0,0,0,0,0,0,0,0,0
1220,19,0,0,0,0,0,0,0,0,0,0
927,23,0,0,0,0,0,0,0,0,0,0
0,64,0,0,0,0,0,0,0,0,0,0
1710,19,0,0,0,0,0,0,0,0,0,0
114,64,0,0,0,0,0,0,0,0,0,0
927,8,0,0,0,0,0,0,0,0,0,0
1024,77,0,0,0,0,0,0,0,0,0,0
927,33,0,0,0,0,0,0,0,0,0,0
1204,9,0,0,0,0,0,0,0,0,0,0
819,60,0,0,0,0,0,0,0,0,0,0
599,60,0,0,0,0,0,0,0,0,0,0
369,59,0,0,0,0,0,0,0,0,0,0
1269,51,0,0,0,0,0,0,0,0,0,0
114,82,0,0,0,0,0,0,0,0,0,0
1220,12,0,0,0,0,0,0,0,0,0,0
114,54,0,0,0,0,0,0,0,0,0,0
1204,14,0,0,0,0,0,0,0,0,0,0
927,74,0,0,0,0,0,0,0,0,0,0
1760,15,0,0,0,0,0,0,0,0,0,0
300,66,0,0,0,0,0,0,0,0,0,0
380,60,0,0,0,0,0,0,0,0,0,0
114,80,0,0,0,0,0,0,0,0,0,0
560,19,0,0,0,0,0,0,0,0,0,0
380,50,0,0,0,0,0,0,0,0,0,0
1220,64,0,0,0,0,0,0,0,0,0,0
114,61,0,0,0,0,0,0,0,0,0,0
114,60,0,0,0,0,0,0,0,0,0,0
380,19,0,0,0,0,0,0,0,0,0,0
927,27,0,0,0,0,0,0,0,0,0,0
1220,66,0,0,0,0,0,0,0,0,0,0
599,82,0,0,0,0,0,0,0,0,0,0
380,80,0,0,0,0,0,0,0,0,0,0
114,60,0,0,0,0,0,0,0,0,0,0
380,77,0,0,0,0,0,0,0,0,0,0
927,66,0,0,0,0,0,0,0,0,0,0
1676,15,0,0,0,0,0,0,0,0,0,0
927,80,0,0,0,0,0,0,0,0,0,0
1598,50,0,0,0,0,0,0,0,0,0,0
1024,39,0,0,0,0,0,0,0,0,0,0
927,82,0,0,0,0,0,0,0,0,0,0
560,14,0,0,0,0,0,0,0,0,0,0
1012,60,0,0,0,0,0,0,0,0,0,0
927,84,0,0,0,0,0,0,0,0,0,0
743,77,0,0,0,0,0,0,0,0,0,0
369,80,0,0,0,0,0,0,0,0,0,0
819,50,0,0,0,0,0,0,0,0,0,0
1220,60,0,0,0,0,0,0,0,0,0,0
927,64,0,0,0,0,0,0,0,0,0,0
1355,80,0,0,0,0,0,0,0,0,0,0
743,54,0,0,0,0,0,0,0,0,0,0
743,14,0,0,0,0,0,0,0,0,0,0
560,82,0,0,0,0,0,0,0,0,0,0
819,74,0,0,0,0,0,0,0,0,0,0
1553,55,0,0,0,0,0,0,0,0,0,0
819,60,0,0,0,0,0,0,0,0,0,0
369,77,0,0,0,0,0,0,0,0,0,0
560,8,0,0,0,0,0,0,0,0,0,0
819,9,0,0,0,0,0,0,0,0,0,0
1204,28,0,0,0,0,0,0,0,0,0,0
947,59,0,0,0,0,0,0,0,0,0,0
757,57,0,0,0,0,0,0,0,0,0,0
1220,60,0,0,0,0,0,0,0,0,0,0
1561,59,0,0,0,0,0,0,0,0,0,0
1220,51,0,0,0,0,0,0,0,0,0,0
1220,60,0,0,0,0,0,0,0,0,0,0
1602,61,0,0,0,0,0,0,0,0,0,0
380,82,0,0,0,0,0,0,0,0,0,0
1220,53,0,0,0,0,0,0,0,0,0,0
1598,66,0,0,0,0,0,0,0,0,0,0
1358,39,0,0,0,0,0,0,0,0,0,0
819,82,0,0,0,0,0,0,0,0,0,0
819,28,0,0,0,0,0,0,0,0,0,0
757,19,0,0,0,0,0,0,0,0,0,0
1760,19,0,0,0,0,0,0,0,0,0,0
1598,15,0,0,0,0,0,0,0,0,0,0
819,80,0,0,0,0,0,0,0,0,0,0
1760,64,0,0,0,0,0,0,0,0,0,0
757,28,0,0,0,0,0,0,0,0,0,0
757,72,0,0,0,0,0,0,0,0,0,0
1204,39,0,0,0,0,0,0,0,0,0,0
300,64,0,0,0,0,0,0,0,0,0,0
819,82,0,0,0,0,0,0,0,0,0,0
380,19,0,0,0,0,0,0,0,0,0,0
1220,55,0,0,0,0,0,0,0,0,0,0
1710,64,0,0,0,0,0,0,0,0,0,0
300,59,0,0,0,0,0,0,0,0,0,0
1464,66,0,0,0,0,0,0,0,0,0,0
114,60,0,0,0,0,0,0,0,0,0,0
927,60,0,0,0,0,0,0,0,0,0,0
1598,60,0,0,0,0,0,0,0,0,0,0
380,50,0,0,0,0,0,0,0,0,0,0
1012,61,0,0,0,0,0,0,0,0,0,0
1553,15,0,0,0,0,0,0,0,0,0,0
114,60,0,0,0,0,0,0,0,0,0,0
407,77,0,0,0,0,0,0,0,0,0,0
1012,80,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,0,0
1269,60,0,0,0,0,0,0,0,0,0,0
369,8,0,0,0,0,0,0,0,0,0,0
819,51,0,0,0,0,0,0,0,0,0,0
927,82,0,0,0,0,0,0,0,0,0,0
947,54,0,0,0,0,0,0,0,0,0,0
1024,84,0,0,0,0,0,0,0,0,0,0
927,64,0,0,0,0,0,0,0,0,0,0
114,64,0,0,0,0,0,0,0,0,0,0
1269,72,0,0,0,0,0,0,0,0,0,0
743,61,0,0,0,0,0,0,0,0,0,0
591,64,0,0,0,0,0,0,0,0,0,0
1598,77,0,0,0,0,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,0,0
1220,9,0,0,0,0,0,0,0,0,0,0
1012,51,0,0,0,0,0,0,0,0,0,0
1358,16,0,0,0,0,0,0,0,0,0,0
1676,36,0,0,0,0,0,0,0,0,0,0
1598,19,0,0,0,0,0,0,0,0,0,0
927,84,0,0,0,0,0,0,0,0,0,0
401,84,0,0,0,0,0,0,0,0,0,0
743,51,0,0,0,0,0,0,0,0,0,0
369,8,0,0,0,0,0,0,0,0,0,0
114,54,0,0,0,0,0,0,0,0,0,0
927,54,0,0,0,0,0,0,0,0,0,0
114,15,0,0,0,0,0,0,0,0,0,0
1024,23,0,0,0,0,0,0,0,0,0,0
369,60,0,0,0,0,0,0,0,0,0,0
1598,60,0,0,0,0,0,0,0,0,0,0
927,39,0,0,0,0,0,0,0,0,0,0
1464,66,0,0,0,0,0,0,0,0,0,0
743,50,0,0,0,0,0,0,0,0,0,0
757,77,0,0,0,0,0,0,0,0,0,0
1710,66,0,0,0,0,0,0,0,0,0,0
1676,15,0,0,0,0,0,0,0,0,0,0
300,51,0,0,0,0,0,0,0,0,0,0
819,82,0,0,0,0,0,0,0,0,0,0
819,61,0,0,0,0,0,0,0,0,0,0
380,54,0,0,0,0,0,0,0,0,0,0
1710,51,0,0,0,0,0,0,0,0,0,0
1598,82,0,0,0,0,0,0,0,0,0,0
369,64,0,0,0,0,0,0,0,0,0,0
114,19,0,0,0,0,0,0,0,0,0,0
1220,61,0,0,0,0,0,0,0,0,0,0
114,23,0,0,0,0,0,0,0,0,0,0
819,51,0,0,0,0,0,0,0,0,0,0
1355,82,0,0,0,0,0,0,0,0,0,0
380,60,0,0,0,0,0,0,0,0,0,0
114,82,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,0,0
927,61,0,0,0,0,0,0,0,0,0,0
1464,14,0,0,0,0,0,0,0,0,0,0
927,60,0,0,0,0,0,0,0,0,0,0
927,8,0,0,0,0,0,0,0,0,0,0
1553,73,0,0,0,0,0,0,0,0,0,0
380,8,0,0,0,0,0,0,0,0,0,0
1012,27,0,0,0,0,0,0,0,0,0,0
1024,61,0,0,0,0,0,0,0,0,0,0
114,84,0,0,0,0,0,0,0,0,0,0
927,61,0,0,0,0,0,0,0,0,0,0
927,82,0,0,0,0,0,0,0,0,0,0
757,77,0,0,0,0,0,0,0,0,0,0
300,14,0,0,0,0,0,0,0,0,0,0
1598,12,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,0,0
114,22,0,0,0,0,0,0,0,0,0,0
1760,80,0,0,0,0,0,0,0,0,0,0
1355,53,0,0,0,0,0,0,0,0,0,0
407,80,0,0,0,0,0,0,0,0,0,0
1553,82,0,0,0,0,0,0,0,0,0,0
1358,28,0,0,0,0,0,0,0,0,0,0
591,82,0,0,0,0,0,0,0,0,0,0
300,84,0,0,0,0,0,0,0,0,0,0
1358,39,0,0,0,0,0,0,0,0,0,0
369,15,0,0,0,0,0,0,0,0,0,0
1676,51,0,0,0,0,0,0,0,0,0,0
1355,77,0,0,0,0,0,0,0,0,0,0
1269,51,0,0,0,0,0,0,0,0,0,0
757,55,0,0,0,0,0,0,0,0,0,0
599,72,0,0,0,0,0,0,0,0,0,0
1012,36,0,0,0,0,0,0,0,0,0,0
1204,39,0,0,0,0,0,0,0,0,0,0
0,64,0,0,0,0,0,0,0,0,0,0
560,54,0,0,0,0,0,0,0,0,0,0
615,60,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0
743,54,0,0,0,0,0,0,0,0,0,0
757,28,0,0,0,0,0,0,0,0,0,0
743,28,0,0,0,0,0,0,0,0,0,0
591,73,0,0,0,0,0,0,0,0,0,0
1220,80,0,0,0,0,0,0,0,0,0,0
560,66,0,0,0,0,0,0,0,0,0,0
1024,61,0,0,0,0,0,0,0,0,0,0
591,66,0,0,0,0,0,0,0,0,0,0
819,72,0,0,0,0,0,0,0,0,0,0
757,84,0,0,0,0,0,0,0,0,0,0
369,23,0,0,0,0,0,0,0,0,0,0
927,72,0,0,0,0,0,0,0,0,0,0
369,66,0,0,0,0,0,0,0,0,0,0
1676,51,0,0,0,0,0,0,0,0,0,0
560,51,0,0,0,0,0,0,0,0,0,0
114,57,0,0,0,0,0,0,0,0,0,0
369,51,0,0,0,0,0,0,0,0,0,0
1553,28,0,0,0,0,0,0,0,0,0,0
599,9,0,0,0,0,0,0,0,0,0,0
1710,60,0,0,0,0,0,0,0,0,0,0
927,61,0,0,0,0,0,0,0,0,0,0
1204,82,0,0,0,0,0,0,0,0,0,0
1598,84,0,0,0,0,0,0,0,0,0,0
1598,66,0,0,0,0,0,0,0,0,0,0
300,73,0,0,0,0,0,0,0,0,0,0
380,64,0,0,0,0,0,0,0,0,0,0
1358,15,0,0,0,0,0,0,0,0,0,0
380,50,0,0,0,0,0,0,0,0,0,0
300,36,0,0,0,0,0,0,0,0,0,0
1464,23,0,0,0,0,0,0,0,0,0,0
300,60,0,0,0,0,0,0,0,0,0,0
1220,61,0,0,0,0,0,0,0,0,0,0
114,16,0,0,0,0,0,0,0,0,0,0
819,59,0,0,0,0,0,0,0,0,0,0
927,19,0,0,0,0,0,0,0,0,0,0
380,64,0,0,0,0,0,0,0,0,0,0
1269,59,0,0,0,0,0,0,0,0,0,0
1464,12,0,0,0,0,0,0,0,0,0,0
927,60,0,0,0,0,0,0,0,0,0,0
819,51,0,0,0,0,0,0,0,0,0,0
1561,64,0,0,0,0,0,0,0,0,0,0
947,60,0,0,0,0,0,0,0,0,0,0
599,8,0,0,0,0,0,0,0,0,0,0
1204,9,0,0,0,0,0,0,0,0,0,0
1355,77,0,0,0,0,0,0,0,0,0,0
757,27,0,0,0,0,0,0,0,0,0,0
1561,8,0,0,0,0,0,0,0,0,0,0
300,61,0,0,0,0,0,0,0,0,0,0
0,61,0,0,0,0,0,0,0,0,0,0
591,61,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0
1220,60,0,0,0,0,0,0,0,0,0,0
927,82,0,0,0,0,0,0,0,0,0,0
591,9,0,0,0,0,0,0,0,0,0,0
927,64,0,0,0,0,0,0,0,0,0,0
1358,73,0,0,0,0,0,0,0,0,0,0
114,8,0,0,0,0,0,0,0,0,0,0
927,54,0,0,0,0,0,0,0,0,0,0
369,59,0,0,0,0,0,0,0,0,0,0
757,61,0,0,0,0,0,0,0,0,0,0
757,77,0,0,0,0,0,0,0,0,0,0
927,74,0,0,0,0,0,0,0,0,0,0
1355,55,0,0,0,0,0,0,0,0,0,0
1012,8,0,0,0,0,0,0,0,0,0,0
1598,61,0,0,0,0,0,0,0,0,0,0
560,66,0,0,0,0,0,0,0,0,0,0
1676,19,0,0,0,0,0,0,0,0,0,0
407,14,0,0,0,0,0,0,0,0,0,0
1204,14,0,0,0,0,0,0,0,0,0,0
1598,51,0,0,0,0,0,0,0,0,0,0
369,8,0,0,0,0,0,0,0,0,0,0
300,66,0,0,0,0,0,0,0,0,0,0
819,28,0,0,0,0,0,0,0,0,0,0
1012,80,0,0,0,0,0,0,0,0,0,0
1358,64,0,0,0,0,0,0,0,0,0,0
591,15,0,0,0,0,0,0,0,0,0,0
1760,54,0,0,0,0,0,0,0,0,0,0
927,60,0,0,0,0,0,0,0,0,0,0
1561,12,0,0,0,0,0,0,0,0,0,0
300,8,0,0,0,0,0,0,0,0,0,0
560,66,0,0,0,0,0,0,0,0,0,0
591,28,0,0,0,0,0,0,0,0,0,0
1204,9,0,0,0,0,0,0,0,0,0,0
615,64,0,0,0,0,0,0,0,0,0,0
599,60,0,0,0,0,0,0,0,0,0,0
401,14,0,0,0,0,0,0,0,0,0,0
1220,8,0,0,0,0,0,0,0,0,0,0
1676,57,0,0,0,0,0,0,0,0,0,0
927,84,0,0,0,0,0,0,0,0,0,0
114,36,0,0,0,0,0,0,0,0,0,0
1676,55,0,0,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,0,0,0
300,51,0,0,0,0,0,0,0,0,0,0
380,60,0,0,0,0,0,0,0,0,0,0
1676,9,0,0,0,0,0,0,0,0,0,0
560,39,0,0,0,0,0,0,0,0,0,0
1220,77,0,0,0,0,0,0,0,0,0,0
743,82,0,0,0,0,0,0,0,0,0,0
380,39,0,0,0,0,0,0,0,0,0,0
1358,77,0,0,0,0,0,0,0,0,0,0
369,9,0,0,0,0,0,0,0,0,0,0
591,61,0,0,0,0,0,0,0,0,0,0
743,82,0,0,0,0,0,0,0,0,0,0
1024,84,0,0,0,0,0,0,0,0,0,0
380,66,0,0,0,0,0,0,0,0,0,0
560,28,0,0,0,0,0,0,0,0,0,0
1598,39,0,0,0,0,0,0,0,0,0,0
1358,12,0,0,0,0,0,0,0,0,0,0
743,15,0,0,0,0,0,0,0,0,0,0
819,36,0,0,0,0,0,0,0,0,0,0
591,84,0,0,0,0,0,0,0,0,0,0
1676,82,0,0,0,0,0,0,0,0,0,0
1024,75,0,0,0,0,0,0,0,0,0,0
1760,39,0,0,0,0,0,0,0,0,0,0
1760,53,0,0,0,0,0,0,0,0,0,0
560,60,0,0,0,0,0,0,0,0,0,0
1220,82,0,0,0,0,0,0,0,0,0,0
1760,19,0,0,0,0,0,0,0,0,0,0
300,84,0,0,0,0,0,0,0,0,0,0
369,16,0,0,0,0,0,0,0,0,0,0
757,61,0,0,0,0,0,0,0,0,0,0
1269,39,0,0,0,0,0,0,0,0,0,0
819,36,0,0,0,0,0,0,0,0,0,0
1676,80,0,0,0,0,0,0,0,0,0,0
819,84,0,0,0,0,0,0,0,0,0,0
560,33,0,0,0,0,0,0,0,0,0,0
1676,60,0,0,0,0,0,0,0,0,0,0
819,19,0,0,0,0,0,0,0,0,0,0
1456,19,0,0,0,0,0,0,0,0,0,0
1186,64,0,0,0,0,0,0,0,0,0,0
1295,82,0,0,0,0,0,0,0,0,0,0
74,66,0,0,0,0,0,0,0,0,0,0
747,66,0,0,0,0,0,0,0,0,0,0
747,57,0,0,0,0,0,0,0,0,0,0
253,36,0,0,0,0,0,0,0,0,0,0
743,75,0,0,0,0,0,0,0,0,0,0
1426,50,0,0,0,0,0,0,0,0,0,0
674,23,0,0,0,0,0,0,0,0,0,0
1154,54,0,0,0,0,0,0,0,0,0,0
1186,54,0,0,0,0,0,0,0,0,0,0
963,14,0,0,0,0,0,0,0,0,0,0
354,15,0,0,0,0,0,0,0,0,0,0
747,64,0,0,0,0,0,0,0,0,0,0
1295,73,0,0,0,0,0,0,0,0,0,0
1080,72,0,0,0,0,0,0,0,0,0,0
1348,82,0,0,0,0,0,0,0,0,0,0
1710,14,0,0,0,0,0,0,0,0,0,0
1426,75,0,0,0,0,0,0,0,0,0,0
354,82,0,0,0,0,0,0,0,0,0,0
1456,66,0,0,0,0,0,0,0,0,0,0
760,27,0,0,0,0,0,0,0,0,0,0
1186,36,0,0,0,0,0,0,0,0,0,0
1247,77,0,0,0,0,0,0,0,0,0,0
1295,60,0,0,0,0,0,0,0,0,0,0
354,27,0,0,0,0,0,0,0,0,0,0
1672,54,0,0,0,0,0,0,0,0,0,0
1426,64,0,0,0,0,0,0,0,0,0,0
1602,39,0,0,0,0,0,0,0,0,0,0
354,84,0,0,0,0,0,0,0,0,0,0
1725,15,0,0,0,0,0,0,0,0,0,0
253,36,0,0,0,0,0,0,0,0,0,0
354,66,0,0,0,0,0,0,0,0,0,0
253,61,0,0,0,0,0,0,0,0,0,0
842,27,0,0,0,0,0,0,0,0,0,0
1080,66,0,0,0,0,0,0,0,0,0,0
690,39,0,0,0,0,0,0,0,0,0,0
690,60,0,0,0,0,0,0,0,0,0,0
747,66,0,0,0,0,0,0,0,0,0,0
927,61,0,0,0,0,0,0,0,0,0,0
963,84,0,0,0,0,0,0,0,0,0,0
674,61,0,0,0,0,0,0,0,0,0,0
1491,84,0,0,0,0,0,0,0,0,0,0
827,50,0,0,0,0,0,0,0,0,0,0
1348,61,0,0,0,0,0,0,0,0,0,0
252,53,0,0,0,0,0,0,0,0,0,0
1672,64,0,0,0,0,0,0,0,0,0,0
7,39,0,0,0,0,0,0,0,0,0,0
842,54,0,0,0,0,0,0,0,0,0,0
1348,80,0,0,0,0,0,0,0,0,0,0
1676,51,0,0,0,0,0,0,0,0,0,0
1510,50,0,0,0,0,0,0,0,0,0,0
7,28,0,0,0,0,0,0,0,0,0,0
