level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
238,20,0,0,0,0,0,0,0,0,0,0
1373,52,0,0,0,0,0,0,0,0,0,0
563,79,0,0,0,0,0,0,0,0,0,0
1373,73,0,0,0,0,0,0,0,0,0,0
1386,20,0,0,0,0,0,0,0,0,0,0
574,58,0,0,0,0,0,0,0,0,0,0
1408,29,0,0,0,0,0,0,0,0,0,0
1695,91,0,0,0,0,0,0,0,0,0,0
1126,26,0,0,0,0,0,0,0,0,0,0
812,52,0,0,0,0,0,0,0,0,0,0
574,20,0,0,0,0,0,0,0,0,0,0
1408,91,0,0,0,0,0,0,0,0,0,0
1408,78,0,0,0,0,0,0,0,0,0,0
656,15,0,0,0,0,0,0,0,0,0,0
1410,15,0,0,0,0,0,0,0,0,0,0
1373,78,0,0,0,0,0,0,0,0,0,0
1408,98,0,0,0,0,0,0,0,0,0,0
812,15,0,0,0,0,0,0,0,0,0,0
1381,34,0,0,0,0,0,0,0,0,0,0
937,78,0,0,0,0,0,0,0,0,0,0
125,24,0,0,0,0,0,0,0,0,0,0
563,27,0,0,0,0,0,0,0,0,0,0
812,25,0,0,0,0,0,0,0,0,0,0
149,26,0,0,0,0,0,0,0,0,0,0
1373,50,0,0,0,0,0,0,0,0,0,0
238,74,0,0,0,0,0,0,0,0,0,0
1373,15,0,0,0,0,0,0,0,0,0,0
812,25,0,0,0,0,0,0,0,0,0,0
1381,98,0,0,0,0,0,0,0,0,0,0
1695,73,0,0,0,0,0,0,0,0,0,0
1373,103,0,0,0,0,0,0,0,0,0,0
974,56,0,0,0,0,0,0,0,0,0,0
812,34,0,0,0,0,0,0,0,0,0,0
1386,103,0,0,0,0,0,0,0,0,0,0
790,79,0,0,0,0,0,0,0,0,0,0
125,3,0,0,0,0,0,0,0,0,0,0
125,73,0,0,0,0,0,0,0,0,0,0
220,25,0,0,0,0,0,0,0,0,0,0
1410,103,0,0,0,0,0,0,0,0,0,0
1381,52,0,0,0,0,0,0,0,0,0,0
812,27,0,0,0,0,0,0,0,0,0,0
937,0,0,0,0,0,0,0,0,0,0,0
238,34,0,0,0,0,0,0,0,0,0,0
974,73,0,0,0,0,0,0,0,0,0,0
974,73,0,0,0,0,0,0,0,0,0,0
220,52,0,0,0,0,0,0,0,0,0,0
1408,52,0,0,0,0,0,0,0,0,0,0
1381,15,0,0,0,0,0,0,0,0,0,0
172,15,0,0,0,0,0,0,0,0,0,0
172,25,0,0,0,0,0,0,0,0,0,0
220,58,0,0,0,0,0,0,0,0,0,0
1373,24,0,0,0,0,0,0,0,0,0,0
790,72,0,0,0,0,0,0,0,0,0,0
172,25,0,0,0,0,0,0,0,0,0,0
1126,72,0,0,0,0,0,0,0,0,0,0
1534,20,0,0,0,0,0,0,0,0,0,0
238,103,0,0,0,0,0,0,0,0,0,0
755,36,0,0,0,0,0,0,0,0,0,0
1695,91,0,0,0,0,0,0,0,0,0,0
537,58,0,0,0,0,0,0,0,0,0,0
656,29,0,0,0,0,0,0,0,0,0,0
149,7,0,0,0,0,0,0,0,0,0,0
1373,98,0,0,0,0,0,0,0,0,0,0
241,56,0,0,0,0,0,0,0,0,0,0
1534,58,0,0,0,0,0,0,0,0,0,0
790,91,0,0,0,0,0,0,0,0,0,0
563,15,0,0,0,0,0,0,0,0,0,0
1410,98,0,0,0,0,0,0,0,0,0,0
220,89,0,0,0,0,0,0,0,0,0,0
220,7,0,0,0,0,0,0,0,0,0,0
238,103,0,0,0,0,0,0,0,0,0,0
812,52,0,0,0,0,0,0,0,0,0,0
1373,7,0,0,0,0,0,0,0,0,0,0
