level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
695,0,0,0,0,0,0,0,0,0,0,0
325,56,0,0,0,0,0,0,0,0,0,0
1633,14,0,0,0,0,0,0,0,0,0,0
355,7,0,0,0,0,0,0,0,0,0,0
1529,57,0,0,0,0,0,0,0,0,0,0
826,6,0,0,0,0,0,0,0,0,0,0
1057,11,0,0,0,0,0,0,0,0,0,0
695,35,0,0,0,0,0,0,0,0,0,0
867,53,0,0,0,0,0,0,0,0,0,0
826,11,0,0,0,0,0,0,0,0,0,0
1,58,0,0,0,0,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0,0,0
277,3,0,0,0,0,0,0,0,0,0,0
277,57,0,0,0,0,0,0,0,0,0,0
401,57,0,0,0,0,0,0,0,0,0,0
1087,56,0,0,0,0,0,0,0,0,0,0
70,53,0,0,0,0,0,0,0,0,0,0
705,6,0,0,0,0,0,0,0,0,0,0
384,14,0,0,0,0,0,0,0,0,0,0
705,60,0,0,0,0,0,0,0,0,0,0
325,67,0,0,0,0,0,0,0,0,0,0
705,11,0,0,0,0,0,0,0,0,0,0
1217,59,0,0,0,0,0,0,0,0,0,0
826,4,0,0,0,0,0,0,0,0,0,0
277,58,0,0,0,0,0,0,0,0,0,0
1087,25,0,0,0,0,0,0,0,0,0,0
300,35,0,0,0,0,0,0,0,0,0,0
70,59,0,0,0,0,0,0,0,0,0,0
1,56,0,0,0,0,0,0,0,0,0,0
1,57,0,0,0,0,0,0,0,0,0,0
384,56,0,0,0,0,0,0,0,0,0,0
300,11,0,0,0,0,0,0,0,0,0,0
372,11,0,0,0,0,0,0,0,0,0,0
277,6,0,0,0,0,0,0,0,0,0,0
1633,32,0,0,0,0,0,0,0,0,0,0
845,25,0,0,0,0,0,0,0,0,0,0
22,35,0,0,0,0,0,0,0,0,0,0
325,53,0,0,0,0,0,0,0,0,0,0
325,4,0,0,0,0,0,0,0,0,0,0
401,57,0,0,0,0,0,0,0,0,0,0
1592,6,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0
325,11,0,0,0,0,0,0,0,0,0,0
1529,19,0,0,0,0,0,0,0,0,0,0
384,11,0,0,0,0,0,0,0,0,0,0
791,0,0,0,0,0,0,0,0,0,0,0
1087,6,0,0,0,0,0,0,0,0,0,0
277,56,0,0,0,0,0,0,0,0,0,0
1429,56,0,0,0,0,0,0,0,0,0,0
