"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,2,2,0,0,0,2,4,4,5,0,8,0,01150c6d5b30b38005145331b35b7d84cf9a32fc
0,0,0,0,0,0,0,2,4,4,0,3,1,1,011562cb02879f94f80f04869b808b4fa99a5e32
0,0,0,0,0,0,0,0,0,0,0,3,1,1,011f42f300e54f880e783f647726276234bdc323
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0122a18a7ae66b593c221246e7fbf3e311795037
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0122b40e97cb1cfb692f7add316c3e911378c493
0,0,0,0,0,0,0,2,4,4,5,0,8,0,012efe8b9d80fb22f5f9f033761714a7c14cfb15
0,0,1,1,0,0,0,0,0,0,0,3,1,1,012fb5a373e57729613a528e0e42fe442a55d3e7
0,0,0,0,0,0,0,2,4,4,5,0,8,0,013c3f0f64a3a91141259b4fd85d2a7f60118d80
0,0,1,1,0,0,0,0,0,0,0,3,1,1,013d16398ab81bacba94af3b05b0a2847cf63f27
0,0,2,2,0,0,0,2,4,4,5,0,8,0,013f549e5871ea08bb5b5b86ddc8bc0076fa7465
1,1,1,1,0,0,0,0,0,0,6,7,1,1,014006ebd6ae592f401c9d02707e7a5bcc58127c
0,0,4,1,0,0,0,0,0,0,0,3,1,1,01455e099e13f294ca96cc75c9387c8fe500734f
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0149166a2c36161e8f76472f47c84b533719af0d
0,0,2,2,0,0,0,0,0,0,0,3,1,1,0155dafe2a564890c7c4411a7addaecb79be43a0
0,0,0,0,0,0,0,0,0,0,0,3,1,1,015756b67e14a6183d545a3cd0433d739b9c55ee
0,0,0,0,0,0,0,0,0,0,0,3,1,1,015e9fdf654a553ba6bb5486a21bdca9b4c4f0b9
0,0,0,0,0,0,0,0,0,0,0,3,1,1,016d6560fb8f19dc30ade04d765db58f68b4ba5f
0,0,0,0,0,0,0,0,0,0,0,3,1,1,017adf2795797ef708271a644593e4b96a978b62
0,0,0,0,0,0,0,0,0,0,0,3,1,1,017fda16a69f424d6453174a89ad41297c895c1e
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01807f8ffc4e53270aceae4f192098a70202d014
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0194815ac848d2964792e8c3767f59791a0c02ee
0,0,2,2,0,0,0,2,4,4,5,0,8,0,0196f96d3651eb7b2e761f07201621d37d4d7964
0,0,0,0,0,0,0,0,0,0,0,3,1,1,019ada7ca549609766395a19c98e0bb7e5661463
0,0,2,2,0,0,0,2,4,4,5,0,8,0,01a1473cbfb84ebfad47f8569516cec806fc9c54
0,0,2,2,0,0,0,2,4,4,5,0,8,0,01a6bdb137d67befd503e1e64ab4852e5f25bbcb
0,0,0,0,0,0,0,2,4,4,5,0,8,0,01b3c4c408a7a5bf82948681881bf96563534a52
1,0,1,1,0,0,0,0,0,0,6,3,1,1,01bc56a1c67087fb3c3dd3defdf280ac0bf17462
0,0,0,0,0,0,0,0,0,0,0,3,1,1,01be31bbad40768a5ada5670bfb8c5a81ecbb7ea
